
Scenario_ID	Time	Available_Resources	Available_Tasks	Task_States	Holds_Matrix	Release_Matrix	Waits_Matrix	Deadlock
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.3	{'FS1': 0, 'FS2': 0, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'HoldingFS2', 'SA2': 'WaitingFS1', 'SA3': 'Idle', 'SA4': 'Idle'}	{'SA1': [1, 1, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [1, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	0
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.3	{'FS1': 0, 'FS2': 0, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'HoldingFS2', 'SA2': 'WaitingFS1', 'SA3': 'WaitingFS1', 'SA4': 'Idle'}	{'SA1': [1, 1, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [1, 0, 0, 0], 'SA3': [1, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	0
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.3	{'FS1': 0, 'FS2': 0, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'HoldingFS2', 'SA2': 'WaitingFS1', 'SA3': 'WaitingFS1', 'SA4': 'WaitingFS1'}	{'SA1': [1, 1, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [1, 0, 0, 0], 'SA3': [1, 0, 0, 0], 'SA4': [1, 0, 0, 0]}	0
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.3	{'FS1': 1, 'FS2': 1, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'Idle', 'SA2': 'WaitingFS1', 'SA3': 'WaitingFS1', 'SA4': 'WaitingFS1'}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [1, 1, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [1, 0, 0, 0], 'SA3': [1, 0, 0, 0], 'SA4': [1, 0, 0, 0]}	0
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.4	{'FS1': 0, 'FS2': 0, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'Idle', 'SA2': 'HoldingFS2', 'SA3': 'WaitingFS1', 'SA4': 'WaitingFS1'}	{'SA1': [0, 0, 0, 0], 'SA2': [1, 1, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [1, 0, 0, 0], 'SA4': [1, 0, 0, 0]}	0
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.4	{'FS1': 0, 'FS2': 0, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'Idle', 'SA2': 'HoldingFS2', 'SA3': 'WaitingFS1', 'SA4': 'WaitingFS1'}	{'SA1': [0, 0, 0, 0], 'SA2': [1, 1, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [1, 0, 0, 0], 'SA4': [1, 0, 0, 0]}	0
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.5	{'FS1': 0, 'FS2': 0, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'Idle', 'SA2': 'HoldingFS2', 'SA3': 'WaitingFS1', 'SA4': 'WaitingFS1'}	{'SA1': [0, 0, 0, 0], 'SA2': [1, 1, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [1, 0, 0, 0], 'SA4': [1, 0, 0, 0]}	0
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.5	{'FS1': 0, 'FS2': 0, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'Idle', 'SA2': 'HoldingFS2', 'SA3': 'WaitingFS1', 'SA4': 'WaitingFS1'}	{'SA1': [0, 0, 0, 0], 'SA2': [1, 1, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [1, 0, 0, 0], 'SA4': [1, 0, 0, 0]}	0
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.4	{'FS1': 1, 'FS2': 1, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'Idle', 'SA2': 'Idle', 'SA3': 'WaitingFS1', 'SA4': 'WaitingFS1'}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [1, 1, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [1, 0, 0, 0], 'SA4': [1, 0, 0, 0]}	0
f556281a-159f-4df1-ab8a-3707b4975150	1751070526.6	{'FS1': 0, 'FS2': 0, 'FS3': 1, 'FS4': 1}	{'SA1': 1, 'SA2': 1, 'SA3': 1, 'SA4': 1}	{'SA1': 'Idle', 'SA2': 'Idle', 'SA3': 'HoldingFS2', 'SA4': 'WaitingFS1'}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [1, 1, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [0, 0, 0, 0]}	{'SA1': [0, 0, 0, 0], 'SA2': [0, 0, 0, 0], 'SA3': [0, 0, 0, 0], 'SA4': [1, 0, 0, 0]}	0
